group,seam,n_crops,n_overlap,factor,median_abs_rel,p90_abs_rel,mean_signed_rel
g1,p02,5,28,1.0261512222853895,0.026151222285389433,0.054756854856343226,0.001999231960703423
g1,p03,5,26,1.0340293355790757,0.0076773414313541025,0.02085333850521495,-0.001663784145277973
g1,p04,5,28,0.976772751055809,0.05537230188077982,0.10206564780575694,0.006058786553465583
g1,p05,5,27,0.9829611048440573,0.006335510262299237,0.023556347519496982,-0.0018381795218918972
g1,p06,5,27,0.5608344767460944,0.023909492317639346,0.059604227873999875,0.0017054761424124102
g1,p07,5,27,0.5606404771129455,0.0003459124593668164,0.024279712623951264,-0.00026637651991376886
g1,p08,5,27,0.9451152631192836,0.02402338615438958,0.03740171541631316,0.015522511637603658
g1,p09,5,27,0.9432792430419586,0.0019426414417066168,0.0019426414417067182,0.005516531438405128
g1,p10,5,27,0.8759699298984056,0.022480758247365566,0.07135672033499736,0.001315714525137158
g1,p11,5,27,0.865955139167252,0.01143280195966903,0.0430455142171665,0.0017993983058440105
g1,p12,5,27,1.1111190935853485,0.026491136391993006,0.08228506250779812,3.9330675273972425e-05
g1,p13,5,27,1.1128193365786971,0.0015302077006545361,0.001530207700654625,0.001261868637859375
g1,p14,5,28,1.076639829266934,0.03251157319299925,0.06746223091039075,0.001929325265586679
g1,p15,5,26,1.0795371722316753,0.0026910976967238665,0.02516143279485191,0.0019045735261176901
g1,p16,5,28,1.1071232816816765,0.02555364480222,0.03590416552967776,0.0018914547080316993
g1,p17,5,27,1.1059527783569116,0.0010572475027233966,0.015412752255938054,-9.725938530080348e-05
g1,p18,5,27,0.7971707087520904,0.01813015364563946,0.04854406431702679,-0.00268858032685802
g1,p19,5,27,0.8053167724525446,0.010218719291889541,0.023341168979418743,5.293278275782956e-05
g10,p02,5,28,1.9701952723535456,0.015888671551238305,0.051831449126413125,0.013831500337616839
g10,p03,5,26,1.9702350448408397,2.0187078840424137e-05,2.0187078840461705e-05,0.0008697954380909253
g10,p04,5,28,1.8346036185912267,0.04755474547041126,0.06884022624852339,-0.002635812641138529
g10,p05,5,27,1.671129673815327,0.019037086798829046,0.05471300334699904,0.0008103402864241412
g10,p06,5,27,0.9119576627397242,0.02321240800726919,0.04500175252654889,0.009543845899986908
g10,p07,5,27,0.9489415942360031,0.014211584009568012,0.040554439101011516,0.0002165619317178135
g10,p08,5,27,0.9487512726305357,0.00020056198044583238,0.00020056198044594248,0.0004369256914814406
g10,p09,5,27,0.9243612426164702,0.02300711761496448,0.02679244569482087,0.005180466296071218
g10,p10,5,27,0.8496140837103944,0.008085106263428938,0.029973459349252506,0.0007291183615343073
g10,p11,5,27,0.8419608949312142,0.00900784123746814,0.02402523072128301,0.002274210601372153
g10,p12,5,27,0.8418551964515315,0.00012553846659506523,0.00012553846659514454,-0.00019698600782212797
g10,p13,5,27,0.8071371519903827,0.006698079624783843,0.018267459499738764,0.005726103070346588
g10,p14,5,28,0.9838637267589518,0.00959920377798029,0.027883526169771484,-0.0008154937539457081
g10,p15,5,26,0.98417512084079,0.0003165012322020425,0.00031650123220215026,4.456321386395799e-05
g10,p16,5,28,0.9522173081761282,0.00923409856130542,0.03247167296543721,-0.0014347992158500564
g10,p17,5,27,1.2467069790679466,0.011706545925377664,0.02923383141272294,-0.008660088435853157
g10,p18,5,27,1.2465351470203045,0.00013782873644495325,0.00013782873644502957,-1.7172980819260033e-05
g10,p19,5,27,0.9791685610531126,0.009944252336256914,0.02990412592231461,0.006586011718460999
g11,p02,6,28,0.9347826086956522,0.00837154523840871,0.02326656732117818,-0.003004441004977611
g11,p03,5,26,0.9348197465174853,3.972883265870617e-05,3.972883265881387e-05,-0.00011063321958591649
g11,p04,5,28,0.9049511490199456,0.00679076780988442,0.013074342583368294,-0.0009216376560660577
g11,p05,5,27,0.9049599375042543,9.711556605293407e-06,9.711556605394298e-06,-0.00013770558344370463
g11,p06,5,27,1.1584751695864692,0.007891709653397834,0.0185595407323936,6.958359853149847e-06
g11,p07,5,27,1.1716566865102633,0.011378333580079617,0.01860180987961559,-6.499973879195774e-05
g11,p08,5,27,1.4666995801888132,0.011723541090761588,0.022896366397742198,-0.00014521702885805383
g11,p09,5,27,1.4668222119537098,8.36106906642972e-05,8.361069066438107e-05,-0.00015887838074829627
g11,p10,5,27,1.199393324746516,0.007101086838939591,0.02011007926258436,-0.0002064065713856961
g11,p11,6,27,1.0170826111671474,0.008945942711637452,0.017597070300955184,0.0018022752110636736
g11,p12,6,27,1.295770659108311,0.008230021240203925,0.019205830386860433,-0.0026549491625698775
g11,p13,6,27,1.2959991542592582,0.00017633919192498672,0.0001763391919250811,-0.0009951407545261298
g11,p14,6,28,1.3478287244417182,0.012126920387728068,0.021499169414569967,0.0008758717534008892
g11,p15,6,26,1.3480974326350716,0.0001993637533320764,0.00019936375333212637,-0.0006267559143519177
g11,p16,6,28,1.91084414303803,0.1572839734152578,0.2554041599626252,-0.051803119737991864
g11,p17,6,27,1.8675973291444266,0.020827717442844437,0.02373607251099709,-0.0012302674264930119
g11,p18,6,27,1.9955776907797962,0.016667666808353673,0.036799464797667165,-0.0001862621176778725
g11,p19,6,27,2.0306873979720153,0.01759375611104349,0.02745387261798297,0.0007787280219326162
g12,p02,7,28,1.0293676955349116,0.0029736520596575114,0.029367695534911503,-0.0008516738884660784
g12,p03,6,26,1.1102074230716523,0.00609361929058937,0.022490238929487774,0.00013410072557657783
g12,p04,6,28,1.1101447813203655,5.642346644871041e-05,5.642346644874699e-05,0.00015800188521658486
g12,p05,6,27,0.9805872037274774,0.006291230877693848,0.021317268694803944,0.0010490979200317718
g12,p06,6,27,0.9680162751314356,0.012819796697587227,0.01819335652583237,0.000669253506223647
g12,p07,7,27,1.1215661328287818,0.006894383633170027,0.015293693354503384,-0.0009106160092793205
g12,p08,7,27,1.7576421264119397,0.009929482116961182,0.026421098593614984,-0.00021609202892047805
g12,p09,7,27,1.7577640641960426,6.937577466453827e-05,6.93757746646098e-05,-7.909871107778715e-05
g12,p10,7,27,1.0687399293886661,0.013351707393374419,0.025284084843663835,0.0006247218137614745
g12,p11,7,27,0.9856585363117356,0.006104318016532222,0.01714804455741437,-9.322021995537808e-05
g12,p12,7,27,1.0036883496446818,0.009993743511305579,0.018292149531228555,-0.0008454577374914524
g12,p13,7,27,1.0299430226161843,0.008203142973457613,0.013494109061003866,0.00020699852262450453
g12,p14,7,28,1.121308479040897,0.006251816765224797,0.014977359868203704,4.493812971998508e-06
g12,p15,7,26,1.1370278294327,0.013702956167264722,0.014018756377592647,-0.00011191218072058326
g12,p16,7,28,1.1321013461981282,0.004332772784488416,0.014209876834864112,0.00029305932176943605
g12,p17,7,27,1.204888262173387,0.008271835800833986,0.015178943593407632,-0.00011371333754376368
g12,p18,7,27,1.2048889356290913,5.589362312261875e-07,5.589362313104328e-07,5.1977144463298116e-05
g12,p19,7,27,1.406224186193119,0.007966192634949071,0.022454060195462103,0.0005012974224951137
g2,p02,5,28,1.0,0.0,0.0,0.0
g2,p03,5,26,0.94,0.06000000000000005,0.09666666666666668,0.013161810630840673
g2,p04,5,28,0.9396965699208443,0.0003227979565486303,0.0003227979565486753,0.00019625951999301447
g2,p05,5,27,0.9598866689868396,0.02148576435444056,0.08601601401924372,-0.0003996772763304042
g2,p06,5,27,0.9590753913139832,0.0008451806854581571,0.0008451806854581835,-5.0084203924939737e-05
g2,p07,5,27,0.9164638497786258,0.04442981429955926,0.12718515698353444,0.006887625333857408
g2,p08,5,27,0.916241873544678,0.00024220948158668463,0.0002422094815867573,0.0008421796582615906
g2,p09,5,27,0.9896408800897679,0.07419248563283205,0.08010876676169605,0.005472104638135464
g2,p10,5,27,0.9893704822814943,0.00027322821208552496,0.00027322821208557483,0.0006136576394938547
g2,p11,5,27,0.8546510327618297,0.012762099805410125,0.06836827997405488,-0.0015396236015808283
g2,p12,5,27,0.8546725795207797,2.5211177573041557e-05,2.5211177573099294e-05,-5.640532735993239e-06
g2,p13,5,27,0.8950745128200783,0.047271825804862416,0.09111766546220876,0.0016233296561325738
g2,p14,5,28,0.8960087193897586,0.0010437193287258716,0.0010437193287259566,-0.0007541026999436062
g2,p15,5,26,0.8757222344931002,0.022640945849806964,0.09952893591896717,0.001616252358845219
g2,p16,5,28,0.8759315713857576,0.00023904485282210994,0.00023904485282216065,-0.0002904414527837455
g2,p17,5,27,0.858200025082109,0.0202430724989129,0.08861880833454128,0.001662995554297226
g2,p18,5,27,0.8570055963388292,0.001391783626626576,0.0013917836266266364,0.0008733929129900806
g2,p19,5,27,0.8574862233461203,0.0005608213170886791,0.0005608213170887712,-0.00010838527021395988
g3,p02,5,28,1.144683026584867,0.010014435221941486,0.03566559548154641,0.0026948593677428314
g3,p03,5,26,1.1448651147155224,0.00015907297166675033,0.00015907297166682424,-0.00029273503120074947
g3,p04,5,28,1.1718494528499832,0.023569884161564178,0.049542250421404754,-5.485458532615271e-05
g3,p05,5,27,1.1719236682677934,6.33318705143157e-05,6.333187051436386e-05,6.0435115540852886e-05
g3,p06,5,27,1.0882117425110185,0.012984134447929384,0.02667318330148528,0.0028009662883665774
g3,p07,5,27,1.0883239476131086,0.00010310962260998872,0.00010310962261008978,-0.00038656818934256225
g3,p08,5,27,1.2054161038395586,0.015476059733252737,0.04102834023339876,-0.00047804633620729885
g3,p09,5,27,1.205139549326217,0.00022942659589558146,0.00022942659589566378,0.0009184749089874995
g3,p10,5,27,1.0044249144023334,0.01946926350084249,0.04181390753035475,-0.000218258126052184
g3,p11,5,27,0.8907942491632551,0.013565629321397233,0.02542665673924887,4.933948333681153e-05
g3,p12,5,27,1.0899390878768787,0.019632282184021993,0.03720133073857746,0.0009414859752001377
g3,p13,5,27,1.0899587031084408,1.7996630986361097e-05,1.799663098643586e-05,0.0005895506297661981
g3,p14,5,28,1.1801011839352875,0.007522564366622646,0.01867768265142772,-0.0026807419743051764
g3,p15,5,26,1.1799355621375511,0.0001403454212155581,0.00014034542121561745,0.0003931357382862792
g3,p16,5,28,1.1702172149763372,0.008236337197607893,0.00827809404430863,-0.0021956610483546044
g3,p17,5,27,1.0828941075502443,0.005763262991921851,0.01723770296312216,0.0014283285955802374
g3,p18,5,27,1.148092061775513,0.015521943926598981,0.029039313630789113,0.0016501845127978843
g3,p19,5,27,1.2143301324939009,0.015250375430494184,0.02615421681022506,-0.00013801110061107611
g4,p02,5,28,0.9973935708079931,0.0026064291920069316,0.002606429192006995,0.001446315503902952
g4,p03,5,26,0.9938774096878582,0.003525349694490617,0.003525349694490706,0.0007061969180021624
g4,p04,5,28,0.9939644564372689,8.758298414094502e-05,8.758298414094502e-05,-3.83333892568184e-05
g4,p05,5,27,0.9478911346450064,0.046353087873389515,0.07285277614243674,0.0026338629583672005
g4,p06,5,27,0.946739461083015,0.0012149850546104427,0.001214985054610464,0.001733675675360633
g4,p07,5,27,0.9696492913106964,0.024198664119771594,0.07263466412427944,0.0009462188098838996
g4,p08,5,27,0.9706043148660704,0.0009849164681830338,0.0009849164681830338,0.00036418998837763164
g4,p09,5,27,1.1442811187699338,0.08304917660215085,0.17893677294009183,-0.005926526565377058
g4,p10,5,27,1.1408132248915441,0.0030306310411881265,0.0030306310411881265,0.004057947953101441
g4,p11,5,27,0.9993360434574622,0.12401432447237974,0.14295273854556168,0.0011499991618105665
g4,p12,5,27,0.9998634842225117,0.0005277911954668379,0.0005277911954669135,1.4192156990937374e-05
g4,p13,5,27,0.9361753660409922,0.06369681380157918,0.12356382343810494,0.0007884836480504899
g4,p14,5,28,0.9303768367686464,0.006193849446036267,0.03164242124762466,0.0014159976382649903
g4,p15,5,26,0.8935360025596618,0.03959775518158746,0.1090359255641193,0.0011048409776884332
g4,p16,5,28,0.8928548656300233,0.0007622937718092308,0.000762293771809286,-0.0009036680252423621
g4,p17,5,27,0.8662382308934452,0.029810706937007766,0.07749505723293958,0.00041033154075164924
g4,p18,5,27,0.8687901285345928,0.002945953607376064,0.002945953607376064,0.0017553337469457763
g4,p19,5,27,0.9827617548124967,0.036918943164057236,0.10510753026326228,0.004033175610567881
g5,p02,5,28,1.2520398912058024,0.011262989050840461,0.027661339543372448,0.0009400358633297815
g5,p03,5,26,1.2522207781194532,0.00014447376231486387,0.0001444737623149501,-8.396230569670542e-05
g5,p04,5,28,1.036384325810274,0.012379186825170202,0.02460747543835995,0.0003074260283382028
g5,p05,5,27,1.025988781710616,0.010030587920683452,0.02511775135876099,0.00030066825134685015
g5,p06,5,27,1.0356855463214032,0.00945114097117125,0.02209420718417785,0.0005269458068830785
g5,p07,5,27,1.035882295223824,0.00018996972886186462,0.0001899697288619476,-3.1221513838723244e-05
g5,p08,5,27,1.4347721317502453,0.010662464558269802,0.023401652960844534,-0.0003867240497373126
g5,p09,5,27,1.4346556383091116,8.119299124638402e-05,8.119299124647855e-05,0.00015823897473928261
g5,p10,5,27,1.2084116759526908,0.010761030328025637,0.02364031000243695,0.0005693036271047541
g5,p11,5,27,1.2009561840052438,0.006169662289607762,0.02988317271558723,0.00102179368424377
g5,p12,5,27,1.1194259246810014,0.01081969383594707,0.021043753031274877,-0.0006925343600703237
g5,p13,5,27,1.1195199957721593,8.403511932663452e-05,8.403511932671036e-05,3.913148689461249e-06
g5,p14,5,28,1.199525240793364,0.0140457219402863,0.02594192533541759,-0.0002144921960658676
g5,p15,5,26,1.2768586195189882,0.00746996483301934,0.020729152411628843,5.033037885799048e-05
g5,p16,5,28,1.349559289336558,0.009121437242873863,0.021648099567112097,-0.0013417179376354342
g5,p17,5,27,1.404460053165492,0.010072262340620851,0.0223910335105471,0.00013928150312025514
g5,p18,5,27,1.4047168527183873,0.00018284575080399233,0.00018284575080407665,4.692172100882546e-05
g5,p19,5,27,1.4047055252633271,8.063870692688649e-06,8.06387069275007e-06,-1.2918604571455206e-06
g6,p02,4,28,1.0,0.0,0.0,0.0
g6,p03,3,26,0.3718270571827057,0.016979617803224892,0.025973213553203735,-0.0004527496160820304
g6,p04,3,28,0.5184274329674377,0.00815362764896603,0.017862398593767318,-0.0009498299330906288
g6,p05,3,27,0.5576402234839891,0.010447775312931392,0.019271276902154688,-0.0006844884609541994
g6,p06,3,27,0.5577298905783921,0.0001607973934210449,0.0001607973934211103,-9.829900084643848e-05
g6,p07,3,27,0.8578295975223535,0.008797040033141195,0.0253823723795092,0.0006742587316604221
g6,p08,4,27,1.129551365988695,0.012533386646420184,0.034689600095544414,-0.0010232331879168619
g6,p09,4,27,1.1297229307744174,0.00015188754658550525,0.00015188754658562715,-2.9749174050564674e-05
g6,p10,4,27,0.7378148101309396,0.016327339873175188,0.031159492391332973,0.0005063852014831452
g6,p11,4,27,0.8652850763364323,0.010287432379564785,0.023545263311180807,0.0003452943690024842
g6,p12,4,27,1.0419422409219556,0.012744932223915869,0.02654693476963547,1.4264320567275684e-05
g6,p13,4,27,2.0282499139369086,0.02115874935370514,0.028626543243248134,0.0009876989841754284
g6,p14,4,28,2.028032271142651,0.00010730570861213952,0.00010730570861218258,8.880313989889885e-05
g6,p15,5,26,2.207895776364892,0.02018018795686578,0.08868868004792682,0.008325795001381323
g6,p16,5,28,2.208464778458544,0.00025771238830338836,0.00025771238830338836,0.00015928279501469764
g6,p17,5,27,2.123673878704698,0.038393593858004844,0.049025170336721935,0.0005530963974877141
g6,p18,5,27,2.1228398516410962,0.0003927284089920939,0.0003927284089921626,0.00016038563876070885
g6,p19,5,27,2.21884438535125,0.016259221921522564,0.04522457670838231,-0.002078308638081815
g7,p02,5,28,1.0,0.0,0.0,0.0
g7,p03,5,26,0.7034529451591063,0.05517941773865953,0.11547538446658283,-0.01662888542331519
g7,p04,5,28,0.7031962785743969,0.0003648667426522704,0.0003648667426524334,-0.001544127326932412
g7,p05,5,27,0.9624201095145395,0.026477392057952784,0.07372730454878748,0.004622380614686133
g7,p06,5,27,0.9624908793791761,7.353323557662162e-05,7.353323557666007e-05,0.001556068582884983
g7,p07,5,27,0.8707313821842833,0.05544197974139834,0.09533544593594433,0.00446473235271475
g7,p08,5,27,0.8703086478708021,0.0004854933704361136,0.0004854933704361391,-0.0011680862166666348
g7,p09,5,27,1.020012275818017,0.025510597331509843,0.06262431418731677,-0.00025836059981004035
g7,p10,5,27,1.0201109621721034,9.675016313623126e-05,9.675016313630433e-05,0.00042945721629210223
g7,p11,5,27,0.9514945459279845,0.06726367894137229,0.06726367894137242,-0.007867596522767657
g7,p12,5,27,0.9526215665565025,0.0011844740816867598,0.0011844740816868028,-0.000680874863335827
g7,p13,5,27,0.9976215569427492,0.047238055452503404,0.0479654041340879,0.0032869203913235443
g7,p14,5,28,0.9968668242296529,0.0007565320815733219,0.0007565320815733774,0.0004621017048463476
g7,p15,5,26,0.9126722100259874,0.01726751128051361,0.08445923984753767,0.00229662487445455
g7,p16,5,28,0.912650872637285,2.3379027506345337e-05,2.3379027506407123e-05,-0.0010332957577067058
g7,p17,5,27,0.8939716950863847,0.02046694756004893,0.051652518938277166,0.0015989850646475749
g7,p18,5,27,0.894618176194553,0.0007231561264428613,0.000723156126442901,-3.542714609665967e-05
g7,p19,5,27,0.9309137406848353,0.04057101169649068,0.04087200981733355,0.0051233343445118845
g8,p02,5,28,0.9356340288924558,0.005888844301765728,0.011459473063671522,-0.0008772781686501929
g8,p03,4,26,0.9355850463105843,5.2352287709690724e-05,5.2352287709787855e-05,-6.677060722112306e-05
g8,p04,4,28,0.9506604032956917,0.00294731217899691,0.011022918835088968,0.00017373252266865766
g8,p05,4,27,1.0182906966381466,0.005723366673370416,0.009401037339923467,-8.637029055981395e-05
g8,p06,5,27,1.1569575646965018,0.005845901910290039,0.012252402266648392,0.008018260845162824
g8,p07,5,27,1.1705212257865667,0.007012061767460519,0.01172355970862516,-0.0005435520861941998
g8,p08,5,27,1.482577018318132,0.006209616858567593,0.04586855499865893,0.0003858241022100764
g8,p09,5,27,1.4824701080542588,7.211110286492494e-05,7.211110286500096e-05,-0.00012280008730139837
g8,p10,5,27,1.2372614340254389,0.006435090596913934,0.012675179149902899,-0.0009067823083844453
g8,p11,5,27,1.0160525564354865,0.005071428549222439,0.014480960388940717,0.0004189963671595038
g8,p12,5,27,1.2953666120979805,0.006500938538048301,0.013339828468570932,-0.00034482083226012916
g8,p13,5,27,1.2955057026691128,0.00010737544864386458,0.00010737544864394599,-6.168275266062086e-07
g8,p14,5,28,1.3481008266598349,0.011431765457888,0.01740105539076471,0.0008062187475151399
g8,p15,5,26,1.3481624372647643,4.570177816894992e-05,4.5701778169051056e-05,6.400759344243672e-05
g8,p16,5,28,1.5514397483627966,0.007028667242056747,0.018521738008264794,-1.0916439116505882e-06
g8,p17,5,27,1.5515928483209755,9.868250335891671e-05,9.868250335897957e-05,7.727460571224763e-05
g8,p18,5,27,1.795564582742116,0.008875490052047009,0.025183151176322905,0.0007345181071041114
g8,p19,5,27,1.7956151546583152,2.81649107390841e-05,2.816491073917832e-05,0.0001382987650069133
g9,p02,5,28,0.9355503237198352,0.014361518127278112,0.06444967628016482,-0.0022780509103976264
g9,p03,4,26,0.9356514192353924,0.00010805994396463991,0.0001080599439647027,-0.0007105520506562478
g9,p04,4,28,0.9053873486428732,0.019776392620108055,0.07377531619813114,0.0034800339668818684
g9,p05,5,27,0.9053340145821602,5.89074508196912e-05,5.890745081979218e-05,0.00045037342891676203
g9,p06,5,27,1.15695158223506,0.02234230778926739,0.03831640634847473,0.00047199594846931666
g9,p07,5,27,1.1664396670490935,0.008200935077770425,0.008716334849805642,0.002024048055386426
g9,p08,5,27,1.4654676829101214,0.027930588406193637,0.0630735145055508,-0.001106849858189023
g9,p09,5,27,1.4649686007131817,0.0003405617215308702,0.0003405617215309743,0.00027267928725547284
g9,p10,5,27,1.1972039413098199,0.021526963723823442,0.04657483385776476,0.0004123364432394982
g9,p11,5,27,1.0131868826185568,0.020080273426122664,0.05524319350431339,0.0027075247184181095
g9,p12,5,27,1.2898574516616073,0.016264375380131164,0.038251803848148,0.0026301002865622572
g9,p13,5,27,1.28966659186319,0.00014796968313932437,0.00014796968313940536,2.949342610735514e-05
g9,p14,5,28,1.341907125366155,0.029169801621162506,0.04050700687492634,0.0030529189712473464
g9,p15,5,26,1.3418741672500591,2.4560653619626612e-05,2.4560653619711478e-05,-0.00012748095014996418
g9,p16,5,28,1.5409197612024963,0.015713694338623387,0.043054980606995044,0.002235793957377861
g9,p17,5,27,1.5414703150401716,0.0003572891019618623,0.0003572891019619199,-6.61456338218883e-07
g9,p18,6,27,1.7867856487701903,0.024148827682792945,0.07293052803391256,-0.0040682201626790395
g9,p19,6,53,1.7867856487701903,0.002664698227066813,0.05151749905662492,-0.0016628573390662883
